Date,Amount,Type,Category,Notes
2025-09-01,12000.00,Fixed,Housing,Rent - monthly
2025-09-01,44.99,Variable,Food & Dining - Restaurants,late night pizza w/ roommates
2025-09-01,230.99,Variable,Entertainment - Games,concert tickets
2025-09-02,245.50,Variable,Education - Printing,lab manual printing
2025-09-03,184.50,Variable,Food & Dining - Coffee,
2025-09-03,50.00,Variable,Entertainment - Parties,movie snacks
2025-09-04,26.00,Variable,Food & Dining - Groceries,breakfast thela
2025-09-05,699.00,Fixed,Housing,Internet bill
2025-09-07,199.00,Fixed,Entertainment,Netflix subscription
2025-09-08,42.50,Variable,Transportation - Auto,auto to market
2025-09-08,650.00,Variable,Education - Books,coursera sub
2025-09-09,171.99,Variable,Food & Dining - Restaurants,mess lunch
2025-09-09,190.50,Variable,Education - Supplies,coursera sub
2025-09-10,22.95,Variable,Food & Dining - Restaurants,fruuit shop near hostel
2025-09-10,124.00,Variable,Food & Dining - Groceries,zomato order - too lazy to cook
2025-09-11,74.00,Variable,Food & Dining - Coffee,late night pizza w/ roommates
2025-09-12,37.00,Variable,Food & Dining - Restaurants,dominos pizza fri night
2025-09-12,529.00,Variable,Entertainment - Parties,bowling
2025-09-12,79.50,Variable,Transportation - Uber,metro card recharge
2025-09-12,218.50,Variable,Education - Printing,stationery from crossword
2025-09-15,119.00,Fixed,Entertainment,Spotify premium
2025-09-17,234.99,Variable,Food & Dining - Restaurants,midnight snacks
2025-09-18,135.95,Variable,Food & Dining - Restaurants,grabbed food quickly
2025-09-19,78.50,Variable,Personal Care,toothpaste etc
2025-09-19,96.50,Variable,Transportation - Fuel,ola to railway station
2025-09-19,128.50,Variable,Food & Dining - Groceries,biryani with friends
2025-09-19,377.00,Variable,Entertainment - Parties,entertainment stuff
2025-09-20,377.95,Variable,Food & Dining - Groceries,cafe with study group
2025-09-21,358.00,Variable,Food & Dining - Groceries,"milk, bread, eggs"
2025-09-22,98.99,Variable,Food & Dining - Coffee,swiggy dinner again
2025-09-22,188.50,Variable,Entertainment - Movies,escape room with batchmates
2025-09-28,571.95,Variable,Food & Dining - Restaurants,midnight snacks
2025-09-28,87.99,Variable,Food & Dining - Restaurants,packed dinner from canteen
2025-09-28,136.99,Variable,Food & Dining - Groceries,packed dinner from canteen
2025-09-29,121.99,Variable,Food & Dining - Restaurants,stuff
2025-09-30,117.50,Variable,Education - Courses,supplies for lab
2025-10-01,12000.00,Fixed,Housing,Rent - monthly
2025-10-01,73.00,Variable,Entertainment - Games,entertainment stuff
2025-10-01,107.50,Variable,Food & Dining - Coffee,packed dinner from canteen
2025-10-02,53.99,Variable,Food & Dining - Restaurants,cafe with study group
2025-10-05,699.00,Fixed,Housing,Internet bill
2025-10-07,199.00,Fixed,Entertainment,Netflix subscription
2025-10-07,43.99,Variable,Transportation - Fuel,cash
2025-10-07,174.00,Variable,Food & Dining - Restaurants,stuff
2025-10-08,269.50,Variable,Transportation - Uber,auto to market
2025-10-09,395.99,Variable,Transportation - Bus,uber to airport
2025-10-09,66.50,Variable,Food & Dining - Restaurants,lunch
2025-10-10,68.99,Variable,Food & Dining - Restaurants,weekly grocery
2025-10-10,251.95,Variable,Transportation - Fuel,bus pass monthly
2025-10-10,474.99,Variable,Food & Dining - Coffee,stuff
2025-10-12,101.50,Variable,Food & Dining - Groceries,subway before lab
2025-10-14,2800.00,Variable,Shopping,laptop repair - hinges broken
2025-10-15,119.00,Fixed,Entertainment,Spotify premium
2025-10-15,25.95,Variable,Transportation - Uber,shared cab
2025-10-15,126.99,Variable,Food & Dining - Groceries,cafe with study group
2025-10-17,33.00,Variable,Education - Printing,coursera sub
2025-10-17,38.50,Variable,Transportation - Uber,uber to airport
2025-10-19,183.99,Variable,Food & Dining - Coffee,fruuit shop near hostel
2025-10-19,600.00,Variable,Food & Dining - Restaurants,swiggy dinner again
2025-10-19,53.50,Variable,Education - Supplies,books for sem
2025-10-19,280.95,Variable,Entertainment - Outings,night out with friends
2025-10-19,33.99,Variable,Transportation - Bus,rapido to college
2025-10-20,101.99,Variable,Food & Dining - Restaurants,"milk, bread, eggs"
2025-10-20,44.00,Variable,Transportation - Bus,ola to railway station
2025-10-21,63.99,Variable,Food & Dining - Restaurants,weekly grocery
2025-10-24,76.99,Variable,Transportation - Bus,rapido to college
2025-10-25,129.50,Variable,Entertainment - Outings,concert tickets
2025-10-25,561.99,Variable,Food & Dining - Groceries,grabbed food quickly
2025-10-26,403.99,Variable,Food & Dining - Groceries,breakfast thela
2025-10-27,174.99,Variable,Entertainment - Parties,college fest entry
2025-10-27,77.99,Variable,Transportation - Bus,bus pass monthly
2025-10-28,151.00,Variable,Food & Dining - Restaurants,
2025-10-28,284.50,Variable,Entertainment - Games,weekend outing
2025-10-30,273.50,Variable,Food & Dining - Groceries,zomato order - too lazy to cook
2025-10-31,102.50,Variable,Personal Care,hygiene stuff
2025-10-31,252.99,Variable,Food & Dining - Coffee,
